,Open,High,Low,Close,Volume,Dividends,Stock Splits
522374400000,0.1175965278,0.1215454042,0.1167190062,0.1215454042,239680000,0.0,0.0
522460800000,0.1215454154,0.1215454154,0.1197903603,0.1197903603,179491200,0.0,0.0
522547200000,0.1202290682,0.120667823,0.1158406419,0.1162794083,144569600,0.0,0.0
522633600000,0.1162794526,0.1193515807,0.115840686,0.1193515807,217459200,0.0,0.0
522892800000,0.1189128145,0.1193515812,0.1132080982,0.1136468649,246400000,0.0,0.0
522979200000,0.1132080647,0.1132080647,0.1079429134,0.1096979678,595840000,0.0,0.0
523065600000,0.1096979899,0.1105755114,0.1053103473,0.107065402,255360000,0.0,0.0
523152000000,0.1070653804,0.1105754891,0.1070653804,0.1096979678,282240000,0.0,0.0
523238400000,0.1092592037,0.1114530129,0.1092592037,0.110136725,150080000,0.0,0.0
523497600000,0.1101367158,0.1105754822,0.1075041403,0.1105754822,130166400,0.0,0.0
523584000000,0.1110142294,0.1136468045,0.110575463,0.1127692834,117891200,0.0,0.0
523670400000,0.1127693349,0.1127693349,0.1088204588,0.1092592254,185203200,0.0,0.0
523756800000,0.109259239,0.1145244038,0.109259239,0.1114530489,173398400,0.0,0.0
523843200000,0.1118918583,0.1136469139,0.1110143363,0.1110143363,110140800,0.0,0.0
